ID,TIPO DE DOCUMENTO,CARÁCTER DEL MATERIAL,TIPO DE OBRA,TITULO ,IDIOMA,AUTOR O CREADOR DE LA IMAGEN,AÑO,SERIE (NÚMERO DE CUADROS CAPTURADAS EN UN MISMO DIA),COLECCIÓN,"NOMBRE ESCENA, PERSONALES Y DESCRIPCIÓN",DESCRIPCIÓN FISICA,"DESCRIPCION DEL ORIGINAL (ESTADO DE CONSERVACION DEL ORIGINAL, TAMAÑO, BLANCO Y NEGRO Y/O COLOR, DIGITAL)","TIPO DE FOTO (NEGATIVO, POLAROID, DIAPOSITIVA, 6X6",COLECCIONISTA O PROPIETARIO DE LA FOTO,FUENTE,"MATERIA (GEOGRÁFICA, INSTITUCIONAL)",CRÉDITOS (Ejemplo: nombre fotógrafo),RELACIÓN CON OTROS FONDOS (INTERNOS),PALABRAS CLAVES,TESTIMONIO,CONTEXTO
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1987F0001,Fotografia ,En escena,Teatro,Escena 99 La Morgue,No aplica,Desconocido,1987-1988,1 de 1,El Trolley,"Obra 99 La Morgue. De pie Eugenio Morales (NACIONALIDAD Y FECHAS). Abajo Verónica García-Huidobro (NACIONALIDAD Y FECHA DE NACIMIENTO). Al medio, Rodrigo Pérez (chileno, f/n), Soledad Gutiérrez (chilena, f/n).","Resolución vertical 72pp; Resulución Horizontal 72 pp.; 33,4 kb; RGB; 315 X 474.",Sin información,Sin información,Ramón Griffero,Sitio web,Teatro,Sin información,"Vincular ficha de materiales, con ficha personajes y fichas de las obras de teatro","Griffero, Dictadura, Teatro de Resistencia",,Montaje en El Trolley
F0001,Fotografía,,,Cinema Utoppia,,,,,,,,,,Enzo Blondel,,,,,escenario,,
F0002,Fotografía,,,,,,,,,,,,,Enzo Blondel,,,,,escenario,,
F0003,Fotografía,,,,,,,,,,,,,Enzo Blondel,,,,,escenario,,
F0004,Fotografía,,,,,,,,,,,,,Enzo Blondel,,,,,escenario,,
F0005,Fotografía,,,,,,,,,,,,,Enzo Blondel,,,,,escenario,,
F0006,Fotografía,,,Cinema Utoppia,,,,,,,,,,Enzo Blondel,,,,,escenario,,
F0007,Fotografía,,,,,,,,,,,,,Enzo Blondel,,,,,escenario,,
F0008,Fotografía,,,,,,,,,,,,,Enzo Blondel,,,,,escenario,,
F0009,Fotografía,,,Cinema Utoppia,,,,,,,,,,Enzo Blondel,,,,,escenario,,
F0010,Fotografía,,,,,,,,,,,,,Enzo Blondel,,,,,escenario,,
F0011,Fotografía,,,,,,,,,,,,,Enzo Blondel,,,,,escenario,,
F0012,Fotografía,,,,,,,,,,,,,Enzo Blondel,,,,,escenario,,
F0013,Fotografía,,,,,,,,,,,,,Enzo Blondel,,,,,gráfica,,
F0014,Fotografía,,,,,,,,,,,,,Enzo Blondel,,,,,gráfica,,
F0015,Fotografía,,,,,,,,,,,,,Enzo Blondel,,,,,gráfica,,
F0016,Fotografía,,,,,,,,,,,,,Enzo Blondel,,,,,gráfica,,
F0017,Fotografía,,,,,,,,,,,,,Enzo Blondel,,,,,gráfica,,
F0018,Fotografía,,,,,,,,,,,,,Enzo Blondel,,,,,gráfica,,
F0019,Fotografía,,,,,,,,,,,,,Enzo Blondel,,,,,gráfica,,
